Ticker,Nombre,Precio,Score,Señal,RSI,SMA20,SMA50,SMA200,ATR,ATR Ratio,Volatilidad Anual,Volumen Actual,Volumen Medio (Mes),Volumen Relativo,Soporte,Resistencia,Stop Loss,Take Profit
SNPS,"Synopsys, Inc.",414.0,3,SELL,39.45,433.54,470.01,495.63,20.01,0.0483,0.5713,4647100,2760176,1.68,394.3,443.93,394.3,443.93
WFC,Wells Fargo & Company,81.45,3,SELL,33.96,88.86,90.53,82.98,3.0,0.0368,0.3034,29118200,16411100,1.77,78.4,86.55,78.4,86.55
STE,STERIS plc,252.35,3,SELL,50.15,250.85,254.97,245.87,6.24,0.0247,0.2496,844500,1048109,0.81,245.89,257.23,245.89,257.23
MET,"MetLife, Inc.",72.07,3,SELL,35.4,77.04,77.94,77.68,2.36,0.0327,0.296,8908600,4444709,2.0,69.35,77.04,69.35,76.78
ZTS,Zoetis Inc.,131.1,3,SELL,60.53,127.22,125.6,140.65,3.75,0.0286,0.2851,5546300,4729114,1.17,126.25,134.13,126.25,134.13
APD,"Air Products and Chemicals, Inc.",275.67,3,SELL,49.77,281.65,265.52,269.71,6.43,0.0233,0.2822,2034000,1623200,1.25,270.92,282.62,270.92,282.62
EME,"EMCOR Group, Inc.",724.62,3,SELL,43.2,770.91,702.6,621.92,30.65,0.0423,0.4106,642100,413976,1.55,686.4,789.34,686.4,785.92
CSX,CSX Corporation,42.69,3,SELL,75.74,40.8,38.06,34.9,0.81,0.0189,0.2349,17413300,12920785,1.35,41.81,43.17,41.81,43.17
EFX,Equifax Inc.,208.96,3,SELL,56.92,194.99,207.95,233.48,7.77,0.0372,0.3885,1258400,2261823,0.56,194.22,216.7,197.31,216.7
CHTR,"Charter Communications, Inc.",234.63,3,SELL,59.09,230.1,212.87,276.55,8.52,0.0363,0.4107,2144300,2337452,0.92,225.81,240.64,225.81,240.64
COF,Capital One Financial Corporation,195.64,3,SELL,37.9,210.91,227.19,215.83,8.48,0.0434,0.3964,9048000,5379719,1.68,185.09,208.59,185.09,208.59
EIX,Edison International,74.74,3,SELL,75.99,68.71,63.58,55.89,1.72,0.023,0.2956,4914200,3578238,1.37,73.47,75.76,73.47,75.76
CINF,Cincinnati Financial Corporation,163.98,3,SELL,51.0,164.64,163.49,155.47,3.5,0.0213,0.2355,1054600,838133,1.26,160.32,166.58,160.32,166.58
CB,Chubb Limited,340.86,3,SELL,70.37,328.52,315.93,291.01,6.25,0.0183,0.2025,2218000,1839876,1.21,333.13,345.64,333.13,345.64
APTV,Aptiv PLC,73.54,3,SELL,36.61,80.19,79.84,76.72,2.98,0.0405,0.3821,3472200,2215457,1.57,71.48,77.43,71.48,77.43
GILD,"Gilead Sciences, Inc.",148.95,3,SELL,56.69,149.28,135.25,119.16,4.04,0.0271,0.2891,11195500,7951061,1.41,143.87,153.24,143.87,153.24
GRMN,Garmin Ltd.,252.83,3,SELL,76.58,222.79,213.06,217.95,7.97,0.0315,0.3562,1704900,1222595,1.39,247.41,256.62,247.41,256.62
BF.B,Brown-Forman Corporation,28.86,3,SELL,50.22,29.24,27.9,28.48,0.97,0.0338,0.3878,17999400,5083880,3.54,27.48,30.35,27.48,30.35
ATO,Atmos Energy Corporation,186.79,3,SELL,81.2,175.75,170.47,164.2,2.88,0.0154,0.1646,2836600,1490709,1.9,181.98,189.71,182.47,189.71
AVB,"AvalonBay Communities, Inc.",177.23,3,SELL,49.83,176.53,178.28,186.29,3.86,0.0218,0.2296,2092200,1243261,1.68,174.57,180.04,174.57,180.04
CMA,Comerica Incorporated,88.67,3,SELL,43.95,92.26,87.28,70.25,2.51,0.0283,0.3394,49187391,4037638,12.18,86.42,93.18,86.42,93.18
FPH,"Five Point Holdings, LLC",5.52,3,SELL,52.79,5.36,5.51,5.74,0.21,0.0372,0.3714,237800,215042,1.11,5.33,5.71,5.33,5.71
AXP,American Express Company,308.9,3,SELL,31.31,343.6,359.35,333.54,11.35,0.0367,0.3371,9802900,4061319,2.41,295.76,333.94,295.76,331.6
BA,The Boeing Company,227.53,3,SELL,39.81,236.08,232.95,218.39,6.48,0.0285,0.3741,6272400,6030623,1.04,222.92,234.14,222.92,234.14
BAC,Bank of America Corporation,49.83,3,SELL,36.38,53.32,53.96,50.07,1.5,0.0302,0.2806,77664500,43528480,1.78,48.35,52.29,48.35,52.29
ECL,Ecolab Inc.,308.35,3,SELL,71.93,297.6,281.77,270.65,5.53,0.0179,0.2017,1832600,1393590,1.32,302.56,311.7,302.56,311.7
GPN,Global Payments Inc.,76.46,3,SELL,51.77,74.22,76.16,79.84,2.86,0.0374,0.4512,4923500,4449438,1.11,74.26,80.13,74.26,80.13
AIZ,"Assurant, Inc.",229.59,3,SELL,51.63,228.43,233.48,212.91,6.07,0.0265,0.2795,431600,513619,0.84,220.48,234.5,220.48,234.5
ADP,"Automatic Data Processing, Inc.",214.36,3,SELL,36.51,222.02,243.99,278.08,6.33,0.0295,0.2238,4998700,4113209,1.22,204.5,222.97,204.87,222.97
ABT,Abbott Laboratories,116.35,3,SELL,57.11,112.21,117.49,126.37,2.19,0.0188,0.2344,13224800,10522838,1.26,113.33,118.1,113.33,118.1
FDX,FedEx Corporation,387.0,3,SELL,76.31,370.41,329.18,259.33,8.82,0.0228,0.3219,2749200,2002466,1.37,380.57,393.14,380.57,393.14
EXC,Exelon Corporation,49.47,3,SELL,73.02,46.39,44.92,44.25,0.99,0.02,0.1925,15389300,9618914,1.6,48.12,50.35,48.12,50.35
DHR,Danaher Corporation,210.64,3,SELL,39.66,214.0,225.06,209.51,5.35,0.0254,0.3186,5242600,4594790,1.14,207.13,213.32,207.13,213.32
HOG,"Harley-Davidson, Inc.",18.0,3,SELL,30.72,19.87,20.39,24.2,0.73,0.0405,0.4399,4776000,3896757,1.23,17.26,19.42,17.26,19.42
EVRG,"Evergy, Inc.",83.66,3,SELL,70.59,79.82,76.43,72.52,1.54,0.0184,0.1706,3150900,2433514,1.29,81.27,85.06,81.35,85.06
ADI,"Analog Devices, Inc.",355.79,3,SELL,71.81,336.1,308.71,255.54,9.86,0.0277,0.383,6109500,4753276,1.29,347.17,363.8,347.17,363.8
CTVA,"Corteva, Inc.",80.12,3,SELL,74.19,75.5,71.64,69.68,1.53,0.0191,0.2581,5332100,4374276,1.22,77.27,81.6,77.83,81.6
BBY,"Best Buy Co., Inc.",61.97,3,SELL,35.81,65.65,67.46,70.75,2.36,0.038,0.4425,5962000,4512642,1.32,60.58,63.8,60.58,63.8
ADSK,"Autodesk, Inc.",245.87,3,SELL,52.28,234.97,262.95,292.88,9.39,0.0382,0.3118,5370700,2712547,1.98,224.35,258.04,231.78,258.04
CTSH,Cognizant Technology Solutions Corporation,64.43,3,SELL,34.49,69.65,78.2,74.52,2.79,0.0433,0.3111,14152300,9227490,1.53,61.29,66.33,61.29,66.33
CTAS,Cintas Corporation,201.13,3,SELL,62.69,195.88,192.58,202.21,3.77,0.0188,0.2142,2116400,1961704,1.08,197.29,203.98,197.29,203.98
EQIX,"Equinix, Inc.",974.26,3,SELL,74.66,890.42,822.47,800.77,24.64,0.0253,0.292,1141200,773457,1.48,937.47,993.03,937.47,993.03
AES,The AES Corporation,17.28,3,SELL,71.27,16.1,15.0,13.3,0.52,0.0299,0.4958,26314600,10663728,2.47,16.25,17.98,16.5,17.98
AFL,Aflac Incorporated,112.93,3,SELL,51.62,113.6,110.96,106.64,2.27,0.0201,0.2066,3772000,2475233,1.52,110.94,114.92,110.94,114.92
